customer_id,frequency,monetary,recency,ticket_count,return_rate,segment_name
CUST00001,6,2955.57,107,2.0,0.16666666666666666,At-Risk High-Value
CUST00002,1,581.0,40,1.0,0.0,New Shoppers
CUST00003,1,649.98,171,0.0,0.0,Regular Value Core
CUST00004,1,1604.04,131,0.0,0.0,Regular Value Core
CUST00005,4,2550.91,38,1.0,0.0,Regular Value Core
CUST00006,5,3770.16,51,2.0,0.2,Regular Value Core
CUST00007,1,719.33,3,0.0,0.0,New Shoppers
CUST00008,4,2747.33,47,1.0,0.0,Regular Value Core
CUST00009,1,376.85,31,0.0,0.0,New Shoppers
CUST00010,1,636.8,9,0.0,0.0,New Shoppers
CUST00011,2,925.0699999999999,1,0.0,0.0,New Shoppers
CUST00012,2,2051.63,50,1.0,0.0,New Shoppers
CUST00013,3,1754.44,61,1.0,0.0,Regular Value Core
CUST00014,11,8130.16,51,2.0,0.0,Regular Value Core
CUST00015,4,4200.93,35,0.0,0.0,Regular Value Core
CUST00016,1,478.02,215,1.0,0.0,Regular Value Core
CUST00017,3,1699.1399999999999,286,0.0,0.0,Regular Value Core
CUST00018,1,329.21,111,0.0,0.0,Regular Value Core
CUST00019,2,1598.93,9,0.0,0.0,New Shoppers
CUST00020,3,4487.950000000001,368,1.0,0.0,At-Risk High-Value
CUST00021,2,1059.3,77,1.0,0.0,Regular Value Core
CUST00022,1,454.06,29,0.0,0.0,New Shoppers
CUST00023,1,400.98,21,0.0,0.0,New Shoppers
CUST00024,1,481.35,4,0.0,0.0,New Shoppers
CUST00025,7,4868.86,165,3.0,0.0,At-Risk High-Value
CUST00026,3,3561.3900000000003,72,1.0,0.3333333333333333,Regular Value Core
CUST00027,1,2128.34,70,1.0,1.0,Regular Value Core
CUST00028,2,1489.7800000000002,83,1.0,0.0,Regular Value Core
CUST00029,8,5252.9,18,0.0,0.0,Champions
CUST00030,6,3435.5899999999997,5,2.0,0.0,Champions
CUST00031,1,672.95,49,0.0,0.0,New Shoppers
CUST00032,3,1948.75,33,0.0,0.0,Regular Value Core
